ic,ic_spearman,sharpe,max_drawdown,total_return,win_rate,n_positions,alpha_name,fold_id,test_year
-0.006427035762409832,-0.03566838695731151,-0.10300471743279174,-66.32951445245986,-0.8726931917496183,0.48096054888507717,8745,momentum_001,1,2021
0.012614775469128814,-0.0030157624628411876,0.1062834511818713,-1.6599690361299368,2.9555980524749166,0.49788450543167523,8745,momentum_002,1,2021
-0.011507294849296933,-0.009493920331375555,0.013814409395444833,-21.732366914946017,-0.1343021451538664,0.49122807017543857,8721,momentum_003,1,2021
0.0027173382789455625,-0.029932103570633573,0.05007164827152988,-7.951642335765289,0.5714704425265025,0.5044025157232704,8745,momentum_004,1,2021
-0.006427035762409832,-0.03566838695731151,-0.10300471743279174,-66.32951445245986,-0.8726931917496183,0.48096054888507717,8745,momentum_005,1,2021
-0.001312088822643668,-0.01933202006881327,-0.06414317908508728,-20.15234263400067,-0.7435696028624438,0.4791326649568664,8578,momentum_006,1,2021
-0.0059081185409544,-0.03642835489166667,0.05007164827152988,-7.951642335765289,0.5714704425265025,0.5044025157232704,8745,momentum_007,1,2021
-5.469163376117996e-05,-0.02396781478040834,0.02672734610128827,-14.488203981566162,0.07135582285116371,0.48919382504288167,8745,momentum_008,1,2021
0.001769674381878476,-0.019322496421756773,0.05007164827152988,-7.951642335765289,0.5714704425265025,0.5044025157232704,8745,momentum_009,1,2021
0.007329114338063903,-0.029219334596755162,9.597899769296441e-05,-2.416326419221584,-0.30774723089417166,0.48073836276083465,8722,momentum_010,1,2021
-0.023863938977142212,-0.03672337167307996,0.05007164827152988,-7.951642335765289,0.5714704425265025,0.5044025157232704,8745,momentum_011,1,2021
0.003059431683617769,-0.019153557215904286,0.05007164827152988,-7.951642335765289,0.5714704425265025,0.5044025157232704,8745,momentum_012,1,2021
0.0020752441201212835,-0.03045560121569343,0.05007164827152988,-7.951642335765289,0.5714704425265025,0.5044025157232704,8745,momentum_013,1,2021
0.0026733486133105667,-0.029929913078231334,0.05058137642151566,-0.9988267309745847,0.5829081824869806,0.5047007567071773,8722,momentum_014,1,2021
-0.004847081816683405,-0.022809488869235933,0.05007164827152988,-7.951642335765289,0.5714704425265025,0.5044025157232704,8745,momentum_015,1,2021
-0.009823567893484327,0.0240279758818303,-0.05007164827152988,-56.776091403995274,-0.6965461115595147,0.495368782161235,8745,mr_001,1,2021
-0.0014326708750199224,0.04131928048325487,-0.05007164827152988,-56.776091403995274,-0.6965461115595147,0.495368782161235,8745,mr_002,1,2021
-0.001133609138267053,0.023541873697674368,-0.05007164827152988,-56.776091403995274,-0.6965461115595147,0.495368782161235,8745,mr_003,1,2021
-0.007329114338063903,0.029219334596755162,-9.597899769296441e-05,-24.069087841206315,-0.31085396455520387,0.5190323320339372,8722,mr_004,1,2021
0.00433884160092897,-0.005215620906710242,-0.05007164827152988,-56.776091403995274,-0.6965461115595147,0.495368782161235,8745,mr_005,1,2021
-0.0014891464370721437,0.011803368004609125,-0.05007164827152988,-56.776091403995274,-0.6965461115595147,0.495368782161235,8745,mr_006,1,2021
0.0005800552299796222,0.04316397794335176,-0.05007164827152988,-56.776091403995274,-0.6965461115595147,0.495368782161235,8745,mr_007,1,2021
-0.011853887143622736,0.027642196804219744,-0.05007164827152988,-56.776091403995274,-0.6965461115595147,0.495368782161235,8745,mr_008,1,2021
-0.01197094360951715,0.020587090239645216,-0.05007164827152988,-56.776091403995274,-0.6965461115595147,0.495368782161235,8745,mr_009,1,2021
-0.004439992446077984,0.043400415599423856,-0.05007164827152988,-56.776091403995274,-0.6965461115595147,0.495368782161235,8745,mr_010,1,2021
-0.008544196981282422,0.04160629814264619,-0.05054695944311858,-123.13460739487407,-0.698826630077898,0.49525225946688023,8741,mr_011,1,2021
0.01571998689042061,0.03918317911141877,-0.05007164827152988,-56.776091403995274,-0.6965461115595147,0.495368782161235,8745,mr_012,1,2021
-0.007710700440080112,0.037898096434874504,-0.05058137642151566,-0.0,-0.6986159673485116,0.4950699380875946,8722,mr_013,1,2021
-0.008603940135754487,0.022008341839403787,-0.05007164827152988,-56.776091403995274,-0.6965461115595147,0.495368782161235,8745,mr_014,1,2021
0.026316674195619977,0.02522983117319417,-0.049993080694064516,-56.75546648236466,-0.6961395517982681,0.4954254345837146,8744,mr_015,1,2021
